"Gioco","Piattaforma","VotoMetacritic","UserScore","Genre","Players"
SNIPER GHOST WARRIOR 2,PS3,,,,
SNIPER: GHOST WARRIOR,PS3,,,,
SOLDNER-X 2: FINAL PROTOTYPE,PS3,,,,
SOLDNER-X: HIMMELSSTURMER,PS3,,,,
SONIC ADVENTURE,PS3,,,,
SONIC ADVENTURE 2,PS3,,,,
SONIC CD,PS3,,,,
SONIC GENERATIONS,PS3,,,,
SONIC THE FIGHTERS,PS3,,,,
SONIC THE HEDGEHOG 4 EPISODE II,PS3,,,,
SONIC THE HEDGEHOG 4: EPISODE 1,PS3,,,,
SONIC UNLEASHED,PS3,,,,
SPACE ACE,PS3,,,,
SPEC OPS: THE LINE,PS3,,,,
SPELUNKY,PS3,,,,
SPLIT/SECOND VELOCITY,PS3,,,,
STAR WARS™: THE FORCE UNLEASHED™ II,PS3,,,,
STAR WARS™: THE FORCE UNLEASHED™: ULTIMATE SITH EDITION,PS3,,,,
STARHAWK,PS3,,,,
STARWHAL,PS3,,,,
STRONG BAD'S COOL GAME FOR ATTRACTIVE PEOPLE - EPISODE 1,PS3,,,,
STRONG BAD'S COOL GAME FOR ATTRACTIVE PEOPLE - EPISODE 2,PS3,,,,
STRONG BAD'S COOL GAME FOR ATTRACTIVE PEOPLE - EPISODE 3,PS3,,,,
STRONG BAD'S COOL GAME FOR ATTRACTIVE PEOPLE - EPISODE 4,PS3,,,,
STRONG BAD'S COOL GAME FOR ATTRACTIVE PEOPLE - EPISODE 5,PS3,,,,
SUPER HANG-ON,PS3,,,,
SUPER PUZZLE FIGHTER II TURBO HD REMIX,PS3,,,,
SYBERIA,PS3,,,,
SYBERIA 2,PS3,,,,
TACHYON PROJECT,PS4,,,,
TALES OF ZESTIRIA,PS4,,,,
TEARAWAY UNFOLDED,PS4,,,,
TENNIS IN THE FACE,PS4,,,,
TERRARIA,PS4,,,,
TESLAGRAD,PS4,,,,
TETRAMINOS,PS4,,,,
THE BUG BUTCHER,PS4,,,,
THE DWARVES,PS4,,,,
THE ELDER SCROLLS ONLINE: TAMRIEL UNLIMITED,PS4,,,,
THE EVIL WITHIN,PS4,,,,
THE EVIL WITHIN 2,PS4,,,,
THE FINAL STATION,PS4,,,,
THE KEEPER OF 4 ELEMENTS,PS4,,,,
THE LAST TINKER: CITY OF COLORS,PS4,,,,
THE METRONOMICON: SLAY THE DANCE FLOOR,PS4,,,,
THE RAVEN REMASTERED,PS4,,,,
THE SPECTRUM RETREAT,PS4,,,,
THE SURGE,PS4,,,,
THE SWAPPER,PS4,,,,
THE SWINDLE,PS4,,,,
THE TOWN OF LIGHT,PS4,,,,
THE TREAUSRES OF MONTEZUMA 4,PS4,,,,
THE TURING TEST,PS4,,,,
THE VANISHING OF ETHAN CARTER,PS4,,,,
THIS WAR OF MINE: THE LITTLE ONES,PS4,,,,
THOMAS WAS ALONE,PS4,,,,
TINY TROOPERS JOINT OPS,PS4,,,,
TITAN QUEST,PS4,,,,
TOKI TORI 2+TOKYO XANADU EX+,PS4,,,,
TORMENT: TIDES OF NUMENER,PS4,,,,
TOM CLANCY'S RAINBOW SIX SIEGE,PS4,,,,
TOUHOU: SCARLET CURIOSITY,PS4,,,,
TOUKIDEN 2,PS4,,,,
TOUKIDEN: KIWAMI,PS4,,,,
TOUR DE FRANCE 2017,PS4,,,,
TRICKY TOWERS,PS4,,,,
TRON RUN/R,PS4,,,,
TROPICO 5,PS4,,,,
TALES FROM SPACE: ABOUT A BLOB,PS3,,,,
TALES FROM SPACE: MUTANT BLOBS ATTACK,PS3,,,,
THE AWAKENED FATE ULTIMATUM,PS3,,,,
THE BOOK OF UNWRITTEN TALES 2,PS3,,,,
THE DARKNESS,PS3,,,,
THE DARKNESS II,PS3,,,,
THE ELDER SCROLLS IV: OBLIVION,PS3,,,,
THE GUIDED FATE PARADOX,PS3,,,,
THE HOUSE OF THE DEAD 3,PS3,,,,
THE HOUSE OF THE DEAD: OVERKILL EXTENDED CUT,PS3,,,,
THE KING OF FIGHTERS XIII,PS3,,,,
THE LAST GUY,PS3,,,,
THE LAST OF US,PS3,,,,
THE LAST OF US: LEFT BEHIND,PS3,,,,
THE LEGO MOVIE VIDEOGAME,PS3,,,,
THE RAVEN: LEGACY OF A MASTER THIEF,PS3,,,,
THE SECRET OF MONKEY ISLAND: SPECIAL EDITION,PS3,,,,
THE SLY TRILOGY,PS3,,,,
THE WITCH AND THE HUNDRED KNIGHT,PS3,,,,
THE WOLF AMONG US,PS3,,,,
TOKYO JUNGLE,PS3,,,,
TOY HOME,PS3,,,,
TOYBOX TURBOS,PS3,,,,
TRASH PANIC,PS3,,,,
TRINE,PS3,,,,
TRINITY: SOULS OF ZILL O'LL,PS3,,,,
TRON : EVOLUTION,PS3,,,,
TRUCK RACER,PS3,,,,
TWISTED METAL,PS3,,,,
TWO WORLDS II,PS3,,,,
ULTRA STREET FIGHTER IV,PS4,,,,
ULTRATRON,PS4,,,,
UNFINISHED SWAN,PS4,,,,
UNTIL DAWN,PS4,,,,
UNCHARTED 2: AMONG THIEVES,PS3,,,,
UNCHARTED 3: DRAKE'S DECEPTION GAME OF THE YEAR EDITION,PS3,,,,
UNCHARTED: DRAKE'S FORTUNE,PS3,,,,
URBAN TRIAL FREESTYLE,PS3,,,,
VAMPYR,PS4,,,,
VALENTINO ROSSI THE GAME,PS4,,,,
VEGAS PARTY,PS4,,,,
VELOCIBOX,PS4,,,,
VELOCITY 2X,PS4,,,,
VICTOR VRAN OVERKILL EDITION,PS4,,,,
VIKINGS - WOLVES OF MIDGARD,PS4,,,,
VELOCITY ULTRA,PS3,,,,
VESSEL,PS3,,,,
VIRTUA FIGHTER 2,PS3,,,,
VIRTUA FIGHTER 5 FINAL SHOWDOWN,PS3,,,,
WARHAMMER: END TIMES - VERMINTIDE,PS4,,,,
WARRIORS ALL-STARS,PS4,,,,
WASTELAND 2: DIRECTOR'S CUT,PS4,,,,
WATCH DOGS 2,PS4,,,,
WHISPERING WILLOWS,PS4,,,,
WILD ARMS 3,PS2,,,
WILD GUNS RELOADED,PS4,,,,
WOLFENSTEIN: THE NEW ORDER,PS4,,,,
WOLFENSTEIN: THE OLD BLOOD,PS4,,,,
WOLFENSTEIN 2: THE NEW COLOSSUS,PS4,,,,
WORLD TO THE WEST,PS4,,,,
WRC 5 FIA WORLD RALLY CHAMPIONSHIP,PS4,,,,
WUPPO,PS4,,,,
WWE 2K18,PS4,,,,
WAKEBOARDING HD,PS3,,,,
WARRIORS OROCHI 3,PS3,,,,
WARRIORS: LEGENDS OF TROY,PS3,,,,
WET,PS3,,,,
WHEN VIKINGS ATTACK!,PS3,,,,
WHITE KNIGHT CHRONICLES,PS3,,,,
WHITE KNIGHT CHRONICLES 2,PS3,,,,
XCOM 2,PS4,,,,
X BLADES,PS3,,,,
XCOM: ENEMY WITHIN,PS3,,,,
YAMAYAMA,PS4,,,,
YESTERDAY ORIGINS,PS4,,,,
YAIBA: NINJA GAIDEN Z,PS3,,,,
YAKUZA 4,PS3,,,,
YAKUZA 5,PS3,,,,
ZIGGURAT,PS4,,,,
ZOMBIE VIKINGS,PS4,,,,
ZACK ZERO,PS3,,,,
ZEN PINBALL 2,PS3,,,,
ZENO CLASH 2,PS3,,,,
ZOMBIE TYCOON 2 - BRAINHOV'S REVENGE,PS3,,,,
